Title,Sales,Platform(s),Initial Release Date,Developer(s),Publisher(s), Sales To Title Length Ratio
Tetris,170000000,Multi-platform,6-Jun-84,Elektronorgtechnica,Spectrum HoloByte,28333333.33
Minecraft,176000000,Multi-platform,18-Nov-11,Mojang,Mojang,19555555.56
Wii Sports,82870000,Wii,19-Nov-06,Nintendo EAD,Nintendo,8287000.00
Grand Theft Auto V,110000000,Multi-platform,17-Sep-13,Rockstar North,Rockstar Games,6111111.11
Wii Play,28020000,Wii,2-Dec-06,Nintendo EAD,Nintendo,3502500.00
FIFA 18,24000000,Multi-platform,29-Sep-17,EA Canada,Electronic Arts,3428571.43
Terraria,27000000,Multi-platform,16-May-11,Re-Logic,Re-Logic,3375000.00
Duck Hunt,28300000,NES,21-Apr-84,Nintendo R&D1,Nintendo,3144444.44
Frogger,20000000,Multi-platform,5-Jun-81,Konami,Sega,2857142.86
Super Mario Bros.,48240000,Multi-platform,13-Sep-85,Nintendo,Nintendo,2837647.06
Mario Kart Wii,37200000,Wii,10-Apr-08,Nintendo EAD,Nintendo,2657142.86
Lemmings,20000000,Multi-platform,14-Feb-91,DMA Design,Psygnosis,2500000.00
Nintendogs,23960000,Nintendo DS,21-Apr-05,Nintendo EAD,Nintendo,2396000.00
Brain Age,19010000,Nintendo DS,19-May-05,Nintendo SPD,Nintendo,2112222.22
The Sims,16000000,Multi-platform,31-Jan-00,Maxis,Electronic Arts,2000000.00
Wii Sports Resort,33100000,Wii,25-Jun-09,Nintendo EAD,Nintendo,1947058.82
Wii Fit and Wii Fit Plus,43800000,Wii,1-Dec-07,Nintendo EAD,Nintendo,1825000.00
Mario Kart DS,23600000,Nintendo DS,14-Nov-05,Nintendo EAD,Nintendo,1815384.62
PlayerUnknown's Battlegrounds,50000000,Multi-platform,20-Dec-17,PUBG Corporation,PUBG Corporation,1724137.93
Borderlands 2,22000000,Multi-platform,18-Sep-12,Gearbox Software,2K Games,1692307.69
Pokemon Red/Green/Blue/Yellow,47520000,Multi-platform,27-Feb-96,Game Freak,Nintendo,1638620.69
Mario Kart 7,18380000,Nintendo 3DS,1-Dec-11,Nintendo EAD,Nintendo,1531666.67
New Super Mario Bros.,30800000,Nintendo DS,15-May-06,Nintendo EAD,Nintendo,1466666.67
Mario Kart 8/Deluxe,26330000,Multi-platform,29-May-14,Nintendo EAD,Nintendo,1385789.47
Kinect Adventures!,24000000,Xbox 360,4-Nov-10,Good Science Studio,Microsoft Studios,1333333.33
Sonic the Hedgehog,23982960,Multi-platform,23-Jun-91,Sonic Team,Sega,1332386.67
Grand Theft Auto IV,25000000,Multi-platform,29-Apr-08,Rockstar North,Rockstar Games,1315789.47
Super Mario World,20972500,Multi-platform,21-Nov-90,Nintendo EAD,Nintendo,1233676.47
The Last of Us,17000000,Multi-platform,14-Jun-13,Naughty Dog,Sony Computer Entertainment,1214285.71
New Super Mario Bros. Wii,30260000,Wii,11-Nov-09,Nintendo EAD,Nintendo,1210400.00
Red Dead Redemption 2,25000000,Multi-platform,26-Oct-18,Rockstar Studios,Rockstar Games,1190476.19
Super Mario Land,18370500,Multi-platform,21-Apr-89,Nintendo R&D1,Nintendo,1148156.25
Call of Duty: Black Ops,26200000,Multi-platform,9-Nov-10,Treyarch,Activision,1139130.43
The Elder Scrolls V: Skyrim,30000000,Multi-platform,11-Nov-11,Bethesda Game Studios,Bethesda Softworks,1111111.11
Pokemon X and Y,16400000,Nintendo 3DS,12-Oct-13,Game Freak,Nintendo / The Pokemon Company,1093333.33
Pokemon Gold/Silver/Crystal,29490000,Game Boy Color,21-Nov-99,Game Freak,Nintendo,1092222.22
Super Mario Bros. 3,19000000,Multi-platform,23-Oct-88,Nintendo,Nintendo,1000000.00
Diablo III and Reaper of Souls,30000000,Multi-platform,16-May-12,Blizzard Entertainment,Blizzard Entertainment,1000000.00
Call of Duty: Ghosts,19000000,Multi-platform,5-Nov-13,Infinity Ward,Activision,950000.00
Grand Theft Auto: San Andreas,27500000,Multi-platform,26-Oct-04,Rockstar North,Rockstar Games,948275.86
Call of Duty: Black Ops II,24200000,Multi-platform,12-Nov-12,Treyarch,Activision,930769.23
Call of Duty: Modern Warfare 3,26500000,Multi-platform,8-Nov-11,Infinity Ward & Sledgehammer Games,Activision,883333.33
Grand Theft Auto III,17500000,Multi-platform,22-Oct-01,DMA Design,Rockstar Games,875000.00
The Witcher 3: Wild Hunt,20000000,Multi-platform,19-May-15,CD Projekt Red,CD Projekt,833333.33
Pokemon Diamond/Pearl/Platinum,24730000,Nintendo DS,28-Sep-06,Game Freak,Nintendo / The Pokemon Company,824333.33
Pokemon Ruby/Sapphire/Emerald,22540000,Game Boy Advance,21-Nov-02,Game Freak,Nintendo / The Pokemon Company,777241.38
Call of Duty: Modern Warfare 2,22700000,Multi-platform,10-Nov-09,Infinity Ward,Activision,756666.67
Grand Theft Auto: Vice City,20000000,Multi-platform,27-Oct-02,Rockstar North,Rockstar Games,740740.74
Pokemon Sun/Moon/Ultra Sun/Ultra Moon,24630000,Nintendo 3DS,18-Nov-16,Game Freak,Nintendo / The Pokemon Company,665675.68
Sonic & Sega All-Stars Racing,17770000,Multi-platform,23-Feb-10,Sumo Digital,Sega,612758.62
