AudioBook,Crystal Valley,Daniel Blake,2022,330,True
AudioBook,Dark Horizons,Sophia Hart,2022,360,False
AudioBook,Golden Empire,Chloe Bennett,2019,290,False
AudioBook,Hidden Legacy,Liam Foster,2020,340,True
AudioBook,Hidden Truths,Alexander Quinn,2019,280,True
AudioBook,Journey to Mars,Daniel Blake,2018,400,True
AudioBook,Luminous Night,Oliver Grant,2022,310,True
AudioBook,Midnight Secrets,Emma Rios,2021,300,False
AudioBook,Ocean Deep,Mia Torres,2018,270,False
AudioBook,Secrets of the Mind,Sophia Hart,2020,250,False
AudioBook,Silver Sands,Mia Torres,2019,320,False
AudioBook,The Lost Kingdom,Alexander Quinn,2017,300,True
AudioBook,The Silent Forest,Emma Rios,2021,320,False
AudioBook,Time Traveler,Liam Foster,2020,310,True
AudioBook,Whispering Shadows,Oliver Grant,2021,350,True
TVEpisode,Crimson Tide,Liam Foster,Crimson Skies,2021,2,8,50,9
TVEpisode,Finale,Sophia Hart,Shattered Realms,2020,3,12,50,9
TVEpisode,Golden Path,Daniel Blake,Nightfall,2019,2,7,45,6
TVEpisode,Hidden Agenda,Emma Rios,Secret Files,2021,1,8,48,6
TVEpisode,Hidden Shadows,Oliver Grant,Lunar Tales,2021,1,4,48,7
TVEpisode,Lost in Time,Sophia Hart,Shattered Realms,2020,3,3,49,8
TVEpisode,Midnight Escape,Daniel Blake,Nightfall,2019,2,5,42,7
TVEpisode,Moonlit River,Oliver Grant,Lunar Tales,2020,1,3,44,8
TVEpisode,Nightfall,Emma Rios,Secret Files,2020,1,5,47,8
TVEpisode,Pilot,Alexander Quinn,The Infinite Path,2018,1,1,45,8
TVEpisode,Second Chance,Alexander Quinn,The Infinite Path,2018,1,2,44,7
TVEpisode,Shattered Dreams,Liam Foster,Crimson Skies,2019,2,6,46,9
TVEpisode,Silent Witness,Mia Torres,Obscured Truths,2021,1,4,43,7
TVEpisode,Silver Lining,Chloe Bennett,Clouded Minds,2019,3,9,46,6
TVEpisode,Velvet Storm,Mia Torres,Obscured Truths,2022,1,6,42,7
Track,Crimson Sky,Luna Grey,Red Horizon,2019,6,4.8
Track,Firelight,The Echoes,Shadows of Time,2020,3,4.5
Track,Flashback,Frizk,Forgotten Arcade,2023,2,4.8
Track,Golden Hour,Luna Grey,Golden Moments,2022,3,4.6
Track,Hidden Path,Crystal Harmony,Mist & Fog,2021,5,3.7
Track,Lone Star,Luna Grey,Desert Nights,2022,3,4
Track,Midnight Ride,The Echoes,Dark Roads,2018,4,4.2
Track,Misty Morning,Crystal Harmony,Morning Glow,2021,5,3.9000000000000004
Track,Northern Lights,Stellar Soundwaves,Northern Skies,2018,7,4.3
Track,Ocean Dreams,Stellar Soundwaves,Blue Horizon,2021,5,4.9
Track,Rising Tide,The Echoes,Tidal Waves,2019,5,3.9000000000000004
Track,Shadows,Stellar Soundwaves,Hidden Paths,2020,6,3.5
Track,Silver Moon,The Echoes,Lunar Phase,2020,4,4.1
Track,Sunset Boulevard,Crystal Harmony,Gilded Streets,2021,4,4.7
Track,Velvet Night,Stellar Soundwaves,Silken Dreams,2022,3,4
Track,Whispering Winds,Luna Grey,Cloud Nine,2019,2,3.8
